BenchmarkRegex/0-16           	 2059423	       580.6 ns/op	     767 B/op	       9 allocs/op
BenchmarkRegex/1-16           	  224006	      5379 ns/op	    7168 B/op	      26 allocs/op
BenchmarkRegex/2-16           	12588747	        94.19 ns/op	     160 B/op	       2 allocs/op
BenchmarkRegex/3-16           	  176286	      6059 ns/op	    7240 B/op	      26 allocs/op
BenchmarkRegex/4-16           	  193698	      6177 ns/op	    8046 B/op	      38 allocs/op
BenchmarkRegex/5-16           	13571092	        95.51 ns/op	     160 B/op	       2 allocs/op
BenchmarkRegexPrepared/0-16   	27965132	        38.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegexPrepared/1-16   	396100664	         3.112 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegexPrepared/3-16   	 4068931	       322.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegexPrepared/4-16   	15688200	        72.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilepath/0-16        	449426701	         2.600 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilepath/1-16        	 8461603	       139.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilepath/2-16        	131202553	         9.690 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilepath/3-16        	 6575338	       174.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilepath/4-16        	53691985	        24.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilepath/5-16        	 4300448	       280.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkOldMatchSimple/0-16  	1000000000	         0.2753 ns/op	       0 B/op	       0 allocs/op
BenchmarkOldMatchSimple/1-16  	11923863	        96.65 ns/op	     176 B/op	       1 allocs/op
BenchmarkOldMatchSimple/2-16  	1000000000	         0.5657 ns/op	       0 B/op	       0 allocs/op
BenchmarkOldMatchSimple/3-16  	 4706488	       256.1 ns/op	     352 B/op	       2 allocs/op
BenchmarkOldMatchSimple/4-16  	 6374442	       188.0 ns/op	     336 B/op	       2 allocs/op
BenchmarkOldMatchSimple/5-16  	 8147955	       130.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkOldMatch/0-16        	1000000000	         0.3258 ns/op	       0 B/op	       0 allocs/op
BenchmarkOldMatch/1-16        	11013324	        95.68 ns/op	     176 B/op	       1 allocs/op
BenchmarkOldMatch/2-16        	1000000000	         0.5481 ns/op	       0 B/op	       0 allocs/op
BenchmarkOldMatch/3-16        	 3774433	       265.0 ns/op	     352 B/op	       2 allocs/op
BenchmarkOldMatch/4-16        	 6091108	       192.0 ns/op	     336 B/op	       2 allocs/op
BenchmarkOldMatch/5-16        	 8900355	       136.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatch/0-16           	1000000000	         0.5487 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatch/1-16           	333048636	         3.719 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatch/2-16           	1000000000	         0.8743 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatch/3-16           	469608193	         2.515 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatch/4-16           	121509292	         9.953 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatch/5-16           	21062292	        57.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchByRune/0-16     	548228626	         2.138 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchByRune/1-16     	12559008	        98.25 ns/op	     176 B/op	       1 allocs/op
BenchmarkMatchByRune/2-16     	550587128	         2.251 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchByRune/3-16     	298535772	         4.045 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchByRune/4-16     	 6143634	       199.0 ns/op	     336 B/op	       2 allocs/op
BenchmarkMatchByRune/5-16     	10374440	       116.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchFromByte/0-16   	577706890	         2.101 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchFromByte/1-16   	244420819	         4.722 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchFromByte/2-16   	542727970	         2.290 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchFromByte/3-16   	187440206	         6.721 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchFromByte/4-16   	100000000	        11.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchFromByte/5-16   	20281261	        61.90 ns/op	       0 B/op	       0 allocs/op
